step,time,phase_name,simulation_time
327,1.639999999999987,Standing,13.439999999999998
328,1.644999999999987,Standing,13.420000000000002
329,1.6499999999999868,Standing,13.399999999999999
330,1.6549999999999867,Standing,13.38
331,1.6599999999999866,Standing,13.36
332,1.6649999999999865,Standing,13.34
333,1.6699999999999864,Standing,13.319999999999999
334,1.6749999999999863,Standing,13.3
335,1.6799999999999862,Standing,13.279999999999998
336,1.684999999999986,Standing,13.260000000000002
337,1.689999999999986,Standing,13.239999999999998
338,1.6949999999999859,Standing,13.22
339,1.6999999999999857,Standing,13.2
340,1.7049999999999856,Standing,13.18
341,1.7099999999999855,Standing,13.159999999999998
342,1.7149999999999854,Standing,13.14
343,1.7199999999999853,Standing,13.120000000000001
344,1.7249999999999852,Standing,13.100000000000001
345,1.729999999999985,Standing,13.08
346,1.734999999999985,Standing,13.06
347,1.739999999999985,Standing,13.040000000000001
348,1.7449999999999848,Standing,13.02
349,1.7499999999999847,Standing,13.0
350,1.7549999999999846,Standing,12.98
351,1.7599999999999845,Standing,12.96
352,1.7649999999999844,Standing,12.940000000000001
353,1.7699999999999843,Standing,12.92
354,1.7749999999999841,Standing,12.9
355,1.779999999999984,Standing,12.88
356,1.784999999999984,Standing,12.86
357,1.7899999999999838,Standing,12.84
358,1.7949999999999837,Standing,12.82
359,1.7999999999999836,Standing,12.8
360,1.8049999999999835,Standing,12.780000000000001
361,1.8099999999999834,Standing,12.76
362,1.8149999999999833,Standing,12.74
363,1.8199999999999832,Standing,12.72
364,1.824999999999983,Standing,12.7
365,1.829999999999983,Standing,12.68
366,1.8349999999999829,Standing,12.66
367,1.8399999999999828,Standing,12.64
368,1.8449999999999827,Standing,12.620000000000001
369,1.8499999999999825,Standing,12.6
370,1.8549999999999824,Standing,12.58
371,1.8599999999999823,Standing,12.56
372,1.8649999999999822,Standing,12.54
373,1.8699999999999821,Standing,12.52
374,1.874999999999982,Standing,12.5
375,1.879999999999982,Standing,12.48
376,1.8849999999999818,Standing,12.46
377,1.8899999999999817,Standing,12.44
378,1.8949999999999816,Standing,12.42
379,1.8999999999999815,Standing,12.4
380,1.9049999999999814,Standing,12.379999999999999
381,1.9099999999999813,Standing,12.36
382,1.9149999999999812,Standing,12.34
383,1.919999999999981,Standing,12.32
384,1.924999999999981,Standing,12.3
385,1.9299999999999808,Standing,12.28
386,1.9349999999999807,Standing,12.26
387,1.9399999999999806,Standing,12.24
388,1.9449999999999805,Standing,12.219999999999999
389,1.9499999999999804,Standing,12.2
390,1.9549999999999803,Standing,12.18
391,1.9599999999999802,Standing,12.16
392,1.96499999999998,Standing,12.14
393,1.96999999999998,Standing,12.12
394,1.9749999999999799,Standing,12.1
395,1.9799999999999798,Standing,12.08
396,1.9849999999999797,Standing,12.059999999999999
397,1.9899999999999796,Standing,12.04
398,1.9949999999999795,Standing,12.02
399,1.9999999999999793,Standing,12.0
400,2.0049999999999795,Standing,11.98
401,2.0099999999999794,Standing,11.959999999999999
402,2.0149999999999793,Standing,11.94
403,2.019999999999979,Standing,11.92
404,2.024999999999979,Standing,11.899999999999999
405,2.029999999999979,Standing,11.879999999999999
406,2.034999999999979,Standing,11.86
407,2.0399999999999787,Standing,11.840000000000002
408,2.0449999999999786,Standing,11.82
409,2.0499999999999785,Standing,11.8
410,2.0549999999999784,Standing,11.78
411,2.0599999999999783,Standing,11.760000000000002
412,2.064999999999978,Standing,11.739999999999998
413,2.069999999999978,Standing,11.720000000000002
414,2.074999999999978,Standing,11.7
415,2.079999999999978,Standing,11.680000000000001
416,2.0849999999999778,Standing,11.66
417,2.0899999999999777,Standing,11.64
418,2.0949999999999775,Standing,11.62
419,2.0999999999999774,Standing,11.600000000000001
420,2.1049999999999773,Standing,11.579999999999998
421,2.1099999999999772,Standing,11.560000000000002
422,2.114999999999977,Standing,11.54
423,2.119999999999977,Standing,11.520000000000001
424,2.124999999999977,Standing,11.5
425,2.129999999999977,Standing,11.48
426,2.1349999999999767,Standing,11.459999999999999
427,2.1399999999999766,Standing,11.440000000000001
428,2.1449999999999765,Standing,11.419999999999998
429,2.1499999999999764,Standing,11.400000000000002
430,2.1549999999999763,Standing,11.379999999999999
431,2.159999999999976,Standing,11.360000000000001
432,2.164999999999976,Standing,11.34
433,2.169999999999976,Standing,11.32
434,2.174999999999976,Standing,11.299999999999999
435,2.1799999999999757,Standing,11.280000000000001
436,2.1849999999999756,Standing,11.259999999999998
437,2.1899999999999755,Standing,11.240000000000002
438,2.1949999999999754,Standing,11.219999999999999
439,2.1999999999999753,Standing,11.200000000000001
440,2.204999999999975,Standing,11.18
